scenario,cache_state,sql_limit,archetype,score
privacy,warm,27000,dataThroughTtp-compressed,0.075253
privacy,warm,27000,dataThroughTtp,0.074181
privacy,cold,27000,computeToData-compressed,0.848450
privacy,cold,27000,computeToData,0.839498
privacy,cold,27000,computeToData-cached,0.839498
privacy,cold,27000,dataThroughTtp-compressed,0.154344
privacy,cold,27000,dataThroughTtp,0.151863
privacy,cold,27000,dataThroughTtp-cached,0.151863
privacy,warm,30000,computeToData-cached,0.930768
privacy,warm,30000,dataThroughTtp-cached,0.727436
privacy,warm,30000,computeToData-compressed,0.384942
privacy,warm,30000,computeToData,0.369841
privacy,warm,30000,dataThroughTtp-compressed,0.070573
privacy,warm,30000,dataThroughTtp,0.069377
privacy,cold,30000,computeToData-compressed,0.853090
privacy,cold,30000,computeToData,0.842200
privacy,cold,30000,computeToData-cached,0.842200
privacy,cold,30000,dataThroughTtp-compressed,0.150194
privacy,cold,30000,dataThroughTtp,0.147233
privacy,cold,30000,dataThroughTtp-cached,0.147233
