sql_limit,varied,weight,archetype,score
10000,energy,0.900000,dataThroughTtp-cached,0.986543
10000,energy,0.900000,computeToData-compressed,0.122128
10000,energy,0.900000,computeToData,0.109990
10000,energy,0.900000,dataThroughTtp,0.012099
10000,energy,0.900000,dataThroughTtp-compressed,0.009639
10000,energy,0.950000,computeToData-cached,0.995413
10000,energy,0.950000,dataThroughTtp-cached,0.987789
10000,energy,0.950000,computeToData-compressed,0.121917
10000,energy,0.950000,computeToData,0.109753
10000,energy,0.950000,dataThroughTtp,0.008627
10000,energy,0.950000,dataThroughTtp-compressed,0.004593
10000,energy,1.000000,computeToData-cached,1.000000
10000,energy,1.000000,dataThroughTtp-cached,0.988176
10000,energy,1.000000,computeToData-compressed,0.121856
10000,energy,1.000000,computeToData,0.109684
10000,energy,1.000000,dataThroughTtp,0.007308
10000,energy,1.000000,dataThroughTtp-compressed,0.000000
10000,latency,0.000000,dataThroughTtp-cached,0.853460
10000,latency,0.000000,computeToData-cached,0.794401
10000,latency,0.000000,dataThroughTtp,0.206827
10000,latency,0.000000,dataThroughTtp-compressed,0.205599
10000,latency,0.000000,computeToData-compressed,0.188836
10000,latency,0.000000,computeToData,0.182099
10000,latency,0.050000,dataThroughTtp-cached,0.855542
10000,latency,0.050000,computeToData-cached,0.797224
10000,latency,0.050000,dataThroughTtp,0.203952
10000,latency,0.050000,dataThroughTtp-compressed,0.202838
10000,latency,0.050000,computeToData-compressed,0.188470
10000,latency,0.050000,computeToData,0.181705
10000,latency,0.100000,dataThroughTtp-cached,0.862075
10000,latency,0.100000,computeToData-cached,0.806095
10000,latency,0.100000,dataThroughTtp,0.194927
10000,latency,0.100000,dataThroughTtp-compressed,0.194146
10000,latency,0.100000,computeToData-compressed,0.187346
10000,latency,0.100000,computeToData,0.180490
10000,latency,0.150000,dataThroughTtp-cached,0.872575
10000,latency,0.150000,computeToData-cached,0.820394
10000,latency,0.150000,computeToData-compressed,0.185617
10000,latency,0.150000,dataThroughTtp,0.180413
10000,latency,0.150000,dataThroughTtp-compressed,0.180090
10000,latency,0.150000,computeToData,0.178618
10000,latency,0.200000,dataThroughTtp-cached,0.885593
10000,latency,0.200000,computeToData-cached,0.838209
10000,latency,0.200000,computeToData-compressed,0.183624
10000,latency,0.200000,computeToData,0.176453
10000,latency,0.200000,dataThroughTtp-compressed,0.162507
10000,latency,0.200000,dataThroughTtp,0.162380
10000,latency,0.250000,dataThroughTtp-cached,0.899466
10000,latency,0.250000,computeToData-cached,0.857321
10000,latency,0.250000,computeToData-compressed,0.181706
10000,latency,0.250000,computeToData,0.174361
10000,latency,0.250000,dataThroughTtp-compressed,0.143570
10000,latency,0.250000,dataThroughTtp,0.143085
10000,latency,0.300000,dataThroughTtp-cached,0.912932
10000,latency,0.300000,computeToData-cached,0.876029
10000,latency,0.300000,computeToData-compressed,0.180067
10000,latency,0.300000,computeToData,0.172567
