run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.019211,400,6.049928
1,200,0.075222,400,6.059065
2,200,0.06208,400,6.069697
3,200,0.085025,400,6.064079
4,200,0.079712,400,6.057505
5,200,0.072851,400,6.114486
6,200,0.099734,400,6.061893
