run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.044319,200,8.575697
1,200,0.200078,200,8.295367
2,200,0.245862,200,7.303806
3,200,0.184456,200,7.787076
4,200,0.189375,200,8.10588
5,200,0.183735,200,7.941715
6,200,0.172126,200,7.609701
