run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.042695,200,9.528493
1,200,0.597729,200,7.937831
2,200,0.246396,200,9.488122
3,200,0.096136,200,8.685773
4,200,0.108401,200,7.496517
5,200,0.100433,200,15.05823
6,408,31.058223,0,0.0
