run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,408,30.028267,0,0.0
1,200,0.112424,200,8.906044
2,408,30.018465,0,0.0
3,200,0.098478,200,11.687243
4,408,30.029969,0,0.0
5,200,0.127847,200,15.007207
6,408,30.021231,0,0.0
