run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,408,30.021012,0,0.0
1,200,0.087892,200,9.694773
2,408,30.040854,0,0.0
3,200,0.093923,200,8.979138
4,408,30.041457,0,0.0
5,200,0.20767,200,10.095514
6,408,30.032902,0,0.0
